dateCreated,doccat,doctype,filename,title
22/12/2021 10:11,ascot,factsheet,ASCOT-Factsheet-Feb18.pdf,ASCOT Factsheet Feb18
22/12/2021 10:10,ascot,factsheet,ASCOT-Factsheet-Mar18.pdf,ASCOT Factsheet Mar18
22/12/2021 10:09,ascot,factsheet,ASCOT-Factsheet-Apr18.pdf,ASCOT Factsheet Apr18
22/12/2021 10:08,ascot,factsheet,ASCOT-Factsheet-May18.pdf,ASCOT Factsheet May18
22/12/2021 10:07,ascot,factsheet,ASCOT-Factsheet-Jun18.pdf,ASCOT Factsheet Jun18
22/12/2021 10:07,ascot,factsheet,ASCOT-Factsheet-Jul18.pdf,ASCOT Factsheet Jul18
22/12/2021 10:06,ascot,factsheet,ASCOT-Factsheet-Aug18.pdf,ASCOT Factsheet Aug18
22/12/2021 10:05,ascot,factsheet,ASCOT-Factsheet-Sep18.pdf,ASCOT Factsheet Sep18
22/12/2021 10:05,ascot,factsheet,ASCOT-Factsheet-Oct18.pdf,ASCOT Factsheet Oct18
22/12/2021 10:04,ascot,factsheet,ASCOT-Factsheet-Nov18.pdf,ASCOT Factsheet Nov18
22/12/2021 10:03,ascot,factsheet,ASCOT-Factsheet-Dec18.pdf,ASCOT Factsheet Dec18
22/12/2021 10:00,afund,factsheet,AFUND-Factsheet-Jan19.pdf,AFUND Factsheet Jan19
22/12/2021 09:59,afund,factsheet,AFUND-Factsheet-Feb19.pdf,AFUND Factsheet Feb19
22/12/2021 09:59,afund,factsheet,AFUND-Factsheet-Mar19.pdf,AFUND Factsheet Mar19
22/12/2021 09:58,afund,factsheet,AFUND-Factsheet-Apr19.pdf,AFUND Factsheet Apr19
22/12/2021 09:56,afund,factsheet,AFUND-Factsheet-May19.pdf,AFUND Factsheet May19
22/12/2021 09:55,afund,factsheet,AFUND-Factsheet-Jun19.pdf,AFUND Factsheet Jun19
22/12/2021 09:54,afund,factsheet,AFUND-Factsheet-Jul19.pdf,AFUND Factsheet Jul19
22/12/2021 09:53,afund,factsheet,AFUND-Factsheet-Aug19.pdf,AFUND Factsheet Aug19
22/12/2021 09:53,afund,factsheet,AFUND-Factsheet-Sep19.pdf,AFUND Factsheet Sep19
22/12/2021 09:52,afund,factsheet,AFUND-Factsheet-Oct19.pdf,AFUND Factsheet Oct19
22/12/2021 09:51,afund,factsheet,AFUND-Factsheet-Nov19.pdf,AFUND Factsheet Nov19
22/12/2021 09:51,afund,factsheet,AFUND-Factsheet-Dec19.pdf,AFUND Factsheet Dec19
22/12/2021 09:37,aslit,factsheet,ASLIT-Factsheet-Jan19.pdf,ASLIT Factsheet Jan19
22/12/2021 09:37,aslit,factsheet,ASLIT-Factsheet-Feb19.pdf,ASLIT Factsheet Feb19
22/12/2021 09:36,aslit,factsheet,ASLIT-Factsheet-Mar19.pdf,ASLIT Factsheet Mar19
22/12/2021 09:35,aslit,factsheet,ASLIT-Factsheet-Apr19.pdf,ASLIT Factsheet Apr19
22/12/2021 09:35,aslit,factsheet,ASLIT-Factsheet-May19.pdf,ASLIT Factsheet May19
22/12/2021 09:34,aslit,factsheet,ASLIT-Factsheet-Jun19.pdf,ASLIT Factsheet Jun19
22/12/2021 09:33,aslit,factsheet,ASLIT-Factsheet-Jul19.pdf,ASLIT Factsheet Jul19
22/12/2021 09:33,aslit,factsheet,ASLIT-Factsheet-Aug19.pdf,ASLIT Factsheet Aug19
22/12/2021 09:32,aslit,factsheet,ASLIT-Factsheet-Sep19.pdf,ASLIT Factsheet Sep19
22/12/2021 09:31,aslit,factsheet,ASLIT-Factsheet-Oct19.pdf,ASLIT Factsheet Oct19
22/12/2021 09:30,aslit,factsheet,ASLIT-Factsheet-Nov19.pdf,ASLIT Factsheet Nov19
22/12/2021 09:30,aslit,factsheet,ASLIT-Factsheet-Dec19.pdf,ASLIT Factsheet Dec19
22/12/2021 09:28,ascot,factsheet,ASCOT-Factsheet-Jan19.pdf,ASCOT Factsheet Jan19
